employee_number,age,tenure,turnover,hourly_rate,hours_weekly,compensation_type,job_role_area,gender,marital_status,num_companies_previously_worked,annual_professonal_dev_hrs,pay_check_method,text_message_optin,annual_salary,driving_commuter_distance,commute_distance_category
1,28,6,Yes,24.37,40,Salary,Research,Female,Married,3,7.0,Mailed Check,Yes,50689.6,89.0,"(0.051, 95.9]"
2,33,2,Yes,24.37,40,Salary,Research,Female,Married,6,7.0,Mailed Check,Yes,50689.6,89.0,"(0.051, 95.9]"
3,22,1,No,22.52,40,Salary,Information Technology,Female,Single,1,8.0,Mailed Check,Yes,46841.6,35.0,"(0.051, 95.9]"
4,23,1,No,22.52,40,Salary,Information Technology,Female,Single,3,15.0,Mailed Check,Yes,46841.6,35.0,"(0.051, 95.9]"
5,40,6,No,88.77,40,Salary,Sales,Prefer Not to Answer,Single,7,15.0,Mailed Check,Yes,284641.6,12.0,"(0.051, 95.9]"
6,45,16,Yes,88.77,40,Salary,Sales,Prefer Not to Answer,Single,4,19.0,Mailed Check,Yes,284641.6,12.0,"(0.051, 95.9]"
7,34,6,No,28.43,40,Salary,Human Resources,Male,Single,2,23.0,Mailed Check,Yes,59134.4,42.0,"(0.051, 95.9]"
8,37,9,Yes,28.43,40,Salary,Human Resources,Male,Single,1,25.0,Mailed Check,Yes,59134.4,42.0,"(0.051, 95.9]"
9,23,1,No,21.87,40,Salary,Human Resources,Female,Single,1,15.0,Mailed Check,Yes,45489.6,76.0,"(0.051, 95.9]"
10,24,1,Yes,21.87,40,Salary,Human Resources,Female,Single,2,9.0,Mailed Check,Yes,45489.6,76.0,"(0.051, 95.9]"
11,30,3,Yes,29.54,40,Salary,Laboratory,Female,Divorced,3,6.0,Mailed Check,Yes,61443.2,15.0,"(0.051, 95.9]"
12,34,8,Yes,29.54,40,Salary,Laboratory,Female,Divorced,1,6.0,Mailed Check,Yes,61443.2,15.0,"(0.051, 95.9]"
